objet ,Room ,number,Link ,object category,decoration,,,,,,decorative,lien ,Piéce
shirt ,wardrob,4,7,cloth,,,,,,,,,
dress,wardrob,7,3,cloth,,,,,,,,,
dress,wardrob,1,7,cloth,,,,,,,,,
pants,wardrob,2,2,cloth,,,,,,,,,
pants,wardrob,6,3,cloth,,,,,,,,,
skirt ,wardrob,2,3,cloth,,,,,,,,,
belt,wardrob,1,2,accessories,,,,,,,,,
sock,wardrob,5,2,cloth,,,,,,,,,
sock,wardrob,28,3,cloth,,,,,,,,,
belt,wardrob,2,3,accessories,,,,,,,,,
Lgbt flag,wardrob,1,4,decoration,x,,,,,,,,
swimsuit,wardrob,2,3,cloth,,,,,,,,,
body form wear,wardrob,2,3,cloth,,,,,,,,,
belt equadorian,wardrob,1,1,accessories,,,,,,,,,
towel ,wardrob,2,6,cleaning supply ,,,,,,,,,
tights,wardrob,5,3,cloth,,,,,,,,,
bra,wardrob,5,4,cloth,,,,,,,,,
period protection ,storage ,3,6,care,,,,,,,,,
hair spray ,storage ,1,6,care,,,,,,,,,
lufa ,storage ,1,7,care,,,,,,,,,
conditionner,storage ,3,6,care,,,,,,,,,
hamper,storage ,1,2,other ,,,,,,,,,
box special fx ,storage ,1,3,make up,,,,,,,,,
beauty brush,storage ,5,3,make up,,,,,,,,,
gemstone,storage ,1,3,make up,,,,,,,,,
fake blood,storage ,3,3,make up,,,,,,,,,
cream eyeshadow,storage ,5,3,make up,,,,,,,,,
fake lashes,storage ,1,3,make up,,,,,,,,,
plasto wax,storage ,1,3,make up,,,,,,,,,
sponges ,storage ,1,3,make up,,,,,,,,,
prostesis,storage ,1,3,make up,,,,,,,,,
lens box,storage ,2,6,care,,,,,,,,,
toothbrush,storage ,3,6,care,,,,,,,,,
baloon,storage ,1,4,other ,,,,,,,,,
brush,storage ,1,6,care,,,,,,,,,
washcloth,storage ,1,6,care,,,,,,,,,
old glasses  ,storage ,5,4,care,,,,,,,,,
foundation ,storage ,1,7,make up,,,,,,,,,
highliter,storage ,1,7,make up,,,,,,,,,
vitamines,storage ,10,4,care,,,,,,,,,
wipes,storage ,1,6,care,,,,,,,,,
hair color,storage ,2,6,care,,,,,,,,,
deodorant,storage ,3,6,care,,,,,,,,,
rasor,storage ,3,6,care,,,,,,,,,
scalpel,storage ,1,6,care,,,,,,,,,
perfum small,storage ,1,6,care,,,,,,,,,
tweezers,storage ,1,6,care,,,,,,,,,
arnica cream,storage ,1,6,medication ,,,,,,,,,
vaseline,storage ,1,6,care,,,,,,,,,
tooth paste,storage ,1,6,care,,,,,,,,,
indental brush,storage ,1,6,care,,,,,,,,,
droogs shampoo,storage ,1,6,care,,,,,,,,,
lens,storage ,1,4,accessories,,,,,,,,,
swimming goggles ,storage ,1,4,accessories,,,,,,,,,
candle,storage ,28,4,art furniture,,,,,,,,,
soap,storage ,14,6,care,,,,,,,,,
essential oil,storage ,3,4,care,,,,,,,,,
wax,storage ,1,4,care,,,,,,,,,
eye mask,storage ,1,4,care,,,,,,,,,
toilet paper,bathroom ,5,6,care,,,,,,,,,
soap,bathroom ,4,2,care,,,,,,,,,
toothbrush,bathroom ,1,2,care,,,,,,,,,
tooth paste,bathroom ,1,2,care,,,,,,,,,
scale,bathroom ,1,2,care,,,,,,,,,
review le monde ,bathroom ,1,3,book,,,,,,,,,
